Licensee Name,Doing Business As,License Type,Issue Date,License Number,Street Address,City,State,Zip,Location
WHOLE FOODS MARKET ROCKY MOUNTAIN/ SOUTHWEST L.P.,WHOLE FOODS MARKET,3.2% Beer Off Premises (city),09/14/18,4600793,2201 SOUTH COLLEGE AVENUE,Fort Collins,CO,80525,"2201 SOUTH COLLEGE AVENUE
Fort Collins, CO 80525
(40.559208, -105.077101)"
STICKY FINGERS HOUSE OF SMOKE LLC,STICKY FINGERS HOUSE OF SMOKE,Hotel & Restaurant (city),09/14/18,4710429,5495 MARSHALL STREET,Arvada,CO,80002,"5495 MARSHALL STREET
Arvada, CO 80002
(39.796058, -105.068537)"
SK'S LLC,PHO FUSION,Hotel & Restaurant (city),09/13/18,4710359,3100 SOUTH SHERIDAN BOULEVARD UNIT H,Denver,CO,80227,"3100 SOUTH SHERIDAN BOULEVARD UNIT H
Denver, CO 80227
(39.65494, -105.053123)"
DM CORPORATION,UPTRAIL SPORTS BAR,Hotel & Restaurant (city),09/13/18,4710516,560 SILVERTHORNE LANE,Silverthorne,CO,80498,"560 SILVERTHORNE LANE
Silverthorne, CO 80498
(39.630928, -106.065755)"
THESIS LLC,CUTTHROAT DISTILLERS,Manufacturer (distillery & rectifier),09/13/18,4709649,2300 EAST 77TH AVEUNUE UNIT 300,Denver,CO,80229,
J AND L DISTILLING COMPANY,J AND L DISTILLING COMPANY,Manufacturer (distillery & rectifier),09/13/18,4710340,"4843 PEARL STREET, UNIT A1, UNIT B1",Boulder,CO,80301,"4843 PEARL STREET, UNIT A1, UNIT B1
Boulder, CO 80301
(40.025474, -105.240428)"
"LYNMAR WINERY, LLC",LYNMAR ESTATE WINERY,Importer (vinous & spirituous),09/13/18,4710366,3905 FREI ROAD,Sebastopol,CA,954722311,"3905 FREI ROAD
Sebastopol, CA 954722311
(38.443024, -122.84557)"
"HUD'S TAVERN, INC.",IVY WILD TAVERN,Tavern (city),09/13/18,4710352,1529 SOUTH NEVADA AVENUE,Colorado Springs,CO,80905,"1529 SOUTH NEVADA AVENUE
Colorado Springs, CO 80905
(38.811746, -104.822259)"
SHELBEE'S GAS & CONVENIENCE STORE LLC,SILVERTHORNE CONOCO,3.2% Beer Off Premises (city),09/13/18,4600880,180 STEPHENS WAY,Silverthorne,CO,80498,"180 STEPHENS WAY
Silverthorne, CO 80498
(39.627079, -106.071088)"
DARK HORSE LIQUORS INC.,DARK HORSE LIQUORS,Liquor Store (city),09/13/18,4710316,1520 WEST VICTORY WAY,Craig,CO,81625,"1520 WEST VICTORY WAY
Craig, CO 81625
(40.514158, -107.564598)"
