BFN,BUS_PROF_NAME,FULL_ADDRESS,LICENSES,LIC_STATUS,ISSUE_DATE,END_DATE,ADDRESS_ID,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,ZIP,COUNCIL_DIST,POLICE_DIST,CENSUS_TRACT,X_COORD,Y_COORD
2013-BFN-1065524,SARTO'S,2900 W 25TH AVE,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2018-08-06 08:34:30,2019-08-21 00:00:00,163150.0,2900 W 25th Ave,None,Denver,CO,None,1,1,00600,3133901.0,1699671.0
2006-BFN-1021798,MAD GREENS,1200 ACOMA ST #A-101 ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2018-08-23 15:58:52.000001,2019-09-18 00:00:00,None,None,None,None,None,None,10,6,02000,3143825.0,1693407.0
2014-BFN-1074718,UNION LODGE NO. 1,1543 CHAMPA STSUITE 101 ,LIQUOR - TAVERN,LICENSE ISSUED - ACTIVE,2018-11-19 09:43:55,2019-11-30 00:00:00,381438.0,1543 Champa St Ste 101,None,Denver,CO,None,9,6,01702,3142112.0,1697105.0
2013-BFN-1066026,TARGET STORE T-2820,7777 E HAMPDEN AVE,LIQUOR - FERMENTED MALT BEVERAGE,LICENSE ISSUED - ACTIVE,2018-06-22 09:07:42,2019-06-26 00:00:00,223542.0,7777 E Hampden Ave,None,Denver,CO,None,4,3,06811,3168865.0,1664167.0
2011-BFN-1051932,MARG'S TACO BISTRO,1519 WYNKOOP ST,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2018-06-11 09:10:33.000001,2019-05-01 00:00:00,378005.0,1519 Wynkoop St,None,Denver,CO,None,9,6,01701,3140074.0,1698952.0
2003-BFN-1005721,QDOBA MEXICAN EATS 2095,200 N QUEBEC STBLDG 600-115 ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2019-01-10 10:31:03.000001,2020-01-26 00:00:00,220910.0,200 N Quebec St,None,Denver,CO,None,5,3,04405,3167989.0,1687931.0
2009-BFN-1043043,EAST 28TH LIQUOR,3513 E 28TH AVE,LIQUOR - RETAIL,LICENSE ISSUED - ACTIVE,2018-12-26 15:45:17,2019-12-14 00:00:00,246560.0,3513 E 28th Ave,None,Denver,CO,None,9,2,03603,3155715.0,1701123.0
2011-BFN-1056512,BONNIE BRAU WINE & LIQUOR MART,785 S UNIVERSITY BLVD,LIQUOR - TASTINGS,LICENSE ISSUED - ACTIVE,2012-10-15 00:00:00,2014-10-14 00:00:00,88878.0,785 S University Blvd,None,Denver,CO,None,6,3,03402,3152070.0,1681161.0
2018-BFN-0007165,SEICENTO BAROQUE ENSEMBLE,2201 S DELAWARE ST,LIQUOR - SPECIAL EVENTS,LICENSE ISSUED - ACTIVE,2018-10-15 10:23:11,2019-10-15 00:00:00,114703.0,2201 S Delaware St,None,Denver,CO,None,7,3,01403,3142851.0,1671728.0
2005-BFN-1017641,7-ELEVEN STORE 13209B,1090 N OGDEN ST,LIQUOR - FERMENTED MALT BEVERAGE,LICENSE ISSUED - ACTIVE,2018-12-10 09:23:08,2020-01-08 00:00:00,170647.0,1090 N Ogden St,None,Denver,CO,None,10,6,02703,3147652.0,1692488.0
2008-BFN-1037543,SWALLOW HILL MUSIC ASSOCIATION,71 E YALE AVE,LIQUOR - ART GALLERY,LICENSE ISSUED - ACTIVE,2019-03-11 07:42:56,2020-03-24 00:00:00,115763.0,71 E Yale Ave,None,Denver,CO,None,6,3,03002,3144501.0,1668590.0
2013-BFN-1070099,MCNALLY'S LIQUOR,1950 S HOLLY STSUITE 1 ,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,2018-01-26 14:01:57,2019-07-05 00:00:00,360457.0,1950 S Holly St Unit 1,None,Denver,CO,None,6,3,05200,3162773.0,1673627.0
2005-BFN-1014483,BUNGALOW LIQUORS,3000 W ALAMEDA AVE,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,2018-05-31 11:49:49,2019-06-01 00:00:00,93604.0,3000 W Alameda Ave,None,Denver,CO,None,3,4,04502,3133438.0,1684155.0
2016-BFN-0000929,THE HALCYON,245 N COLUMBINE ,LIQUOR - HOTEL AND RESTAURANT AND CABARET,LICENSE ISSUED - ACTIVE,2018-05-18 14:12:34,2019-05-09 00:00:00,369790.0,245 N Columbine St,None,Denver,CO,None,10,3,03800,3152687.0,1687726.0
2011-BFN-1053337,ELEANOR'S FORT GREENE BAR,321 E 45TH AVE,LIQUOR - TAVERN,LICENSE ISSUED - ACTIVE,2019-03-08 13:04:19,2020-04-05 00:00:00,34346.0,321 E 45th Ave,None,Denver,CO,None,9,1,01500,3145266.0,1708853.0
2002-BFN-88100,CALIFORNIA PIZZA KITCHEN,3000 E 1ST AVE UNIT 185 ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2019-03-26 15:02:50,2020-04-06 00:00:00,270043.0,3000 E 1st Ave Ste 185,None,Denver,CO,None,10,3,03800,3153820.0,1686410.0
2003-BFN-1004661,WASHINGTON STREET LIQUORS,757 E 20TH AVE #300 ,LIQUOR - RETAIL,LICENSE ISSUED - ACTIVE,2018-07-25 11:22:00,2019-08-21 00:00:00,None,None,None,None,None,None,9,6,02402,3146910.0,1697792.0
2006-BFN-1021217,THE RETRO ROOM,2034 LARIMER ST,LIQUOR - TAVERN AND CABARET,LICENSE ISSUED - ACTIVE,2018-08-24 11:23:00.000001,2019-08-31 00:00:00,None,None,None,None,None,None,9,6,01600,3142874.0,1699688.0
2018-BFN-0002498,SIGNET JEWELRY,300 N FILLMORE ST,LIQUOR - ART GALLERY PERMIT,LICENSE ISSUED - ACTIVE,2018-06-18 00:00:00,2019-06-17 00:00:00,84798.0,300 N Fillmore St,None,Denver,CO,None,10,3,03800,3153794.0,1688015.0
2018-BFN-0005231,COLORADO NONPROFIT DEVELOPMENT CENTER,2901 WALNUT ST,LIQUOR - SPECIAL EVENTS,LICENSE ISSUED - ACTIVE,2018-07-31 11:27:22,2019-07-31 00:00:00,313924.0,2901 Walnut St,None,Denver,CO,None,9,2,01600,3145458.0,1702977.0
2019-BFN-0000743,THE DENVER ART MUSEUM,100 W 14TH AVENUE PKWY,LIQUOR - SPECIAL EVENTS,LICENSE ISSUED - ACTIVE,2019-02-14 07:36:06,2020-02-14 00:00:00,188188.0,100 W 14th Avenue Pkwy,None,Denver,CO,None,10,6,02000,3143540.0,1694016.0
2002-BFN-99990,HANSON'S GRILL AND TAVERN,1301 S PEARL ST,LIQUOR - HOTEL AND RESTAURANT AND CABARET,LICENSE ISSUED - ACTIVE,2018-07-03 12:16:53,2019-06-05 00:00:00,None,None,None,None,None,None,7,3,03001,3146176.0,1677677.0
